Id,TamanhoPacote__c,CollectPoint__Latitude__s,CollectPoint__Longitude__s,DeliveryPoint__Latitude__s,DeliveryPoint__Longitude__s,cluster,id_deliveryman,car_capacity__c,DeliveryManLocation__Latitude__s,DeliveryManLocation__Longitude__s
90e4d4f7e2221bf7f81a4873e3161b96,Pequeno,-23.51633441909516,-46.54665246725141,-23.664255516792647,-46.68857909339831,0,82413,Média,-23.59732650874257,-46.5959904045242
9d3a10d6a5aab8ca343a21580c404b69,Grande,-23.58176952178432,-46.50862503136361,-23.66818375378558,-46.64595940053346,3,86788,Alta,-23.630327989728222,-46.64074613696696
8ebaf041cc8d84dc5436959bab95f2ce,Pequeno,-23.477818578683145,-46.6830360416354,-23.69092956400813,-46.36382142766213,0,82413,Média,-23.59732650874257,-46.5959904045242
17e604bb550e265b46ebefe61430751b,Pequeno,-24.03077309908247,-46.48748488550985,-23.664502918276984,-47.581761427942936,6,253167,Baixa,-23.97375131423957,-46.371917161879885
44f77123c08b319dff9a40cb561a6169,Pequeno,-23.718206272390407,-46.692554037094816,-20.647805529757623,-50.22567196582301,1,96477,Baixa,-23.59592438412487,-46.6698644007733
aadd5a22c7d1dd16b1fe905a302d70e2,Pequeno,-23.485374632312595,-46.413583822503206,-21.188764942887172,-47.76987064730896,4,212140,Alta,-23.55446657029896,-46.308525053174
790a65965d2b4ee225f616bd1b7dcd64,Pequeno,-23.510232645739634,-46.142929621432245,-23.68518013015762,-46.576104443793646,0,82413,Média,-23.59732650874257,-46.5959904045242
bb0c84a759545be3fa2155ad0d43444d,Pequeno,-23.610383925040264,-46.59642958219339,-23.5670455434244,-46.61611199999999,0,82413,Média,-23.59732650874257,-46.5959904045242
7a275273bce174382bf22826d9150592,Pequeno,-23.593477829345726,-46.6300893712196,-23.697730897022385,-46.5789351895666,0,82413,Média,-23.59732650874257,-46.5959904045242
74e801561512a92bdc060773683b7a54,Pequeno,-23.6901359553062,-46.70487596655891,-23.028580095435387,-45.55788415147515,0,82413,Média,-23.59732650874257,-46.5959904045242
37e5725572d3cbd7aad103b730f9232a,Pequeno,-22.59801656219816,-47.39727160848652,-23.499711492094157,-46.63936074992788,8,165215,Alta,-23.41500362826755,-46.89711573605917
a3f77b12916a4990f41ebed970bcdb92,Pequeno,-23.549508764643058,-46.53639808881068,-23.39258990576802,-46.71424273476632,0,82413,Média,-23.59732650874257,-46.5959904045242
32ef444756734af84aa60ffb0e56e391,Pequeno,-22.68679129986047,-46.98706923913844,-23.54216297362805,-46.5453069410237,8,165215,Alta,-23.41500362826755,-46.89711573605917
a5c681209e1bcb90066e530c285ce2c5,Pequeno,-23.447393250466884,-46.756208204633545,-23.602550384015583,-46.473299846987366,0,82413,Média,-23.59732650874257,-46.5959904045242
b1e5cc374b5c4f7c12ef420d322b07e1,Pequeno,-23.480948043568617,-46.58920397460899,-23.481351072998997,-46.567048185815686,0,82413,Média,-23.59732650874257,-46.5959904045242
e99d985e66dc0f62859946b86b5beaff,Pequeno,-23.676302686046217,-46.66880079992426,-24.04895262488876,-46.53411148239479,0,82413,Média,-23.59732650874257,-46.5959904045242
2934b40bb9305d3b5d74747be3181435,Grande,-23.55159434471118,-46.57918922231519,-23.566964123780973,-46.65698270719597,3,86788,Alta,-23.630327989728222,-46.64074613696696
