Id,CreatedDate,Rota__c,Entregador__r_Name,Entregador__r_Id,retorno_google
a045Y00000nQDmFQAW,12/05/2021 22:50,"-23.11552583152521,-46.55291763558196|-23.612052666446743,-46.60783466642034|-23.602447801835048,-46.58881997155058|-23.197672917017687,-47.28917041020834|-23.514805626303925,-47.46355489723096|-23.4945751406988,-46.95875424775154|-23.576284696783446,-46.597673422511626|-23.206255019158583,-47.30927660866177|-23.715914526390176,-46.7819351646447|-23.64924156841137,-46.66149025714124|-23.463362095475787,-46.59647161656762|-22.82462154470405,-47.264055877674345|-23.547762303364262,-46.63536053788448|-23.537511255832708,-46.63705730743676|-22.15321602806684,-50.096240643242346|-23.47991005744708,-46.618817165416345|-23.724854378115623,-46.42232576882658|-23.49269727560733,-46.654851038028696|-21.36235769739203,-48.232975701561735|-23.537511255832708,-46.63705730743676|-23.66930462115525,-46.48159847045406",Eduardo,a005Y00002GIPcRQAX,"{
  ""duration"": ""2080.27 min"",
  ""distance"": ""2541.81 km"",
  ""velocity"": ""73.31 km/h"",
  ""durationForEachOrder"": ""104.01 min / entrga"",
  ""orderAmt"": 20
}"
a045Y00000nQDlqQAG,12/05/2021 21:11,"-23.11552583152521,-46.55291763558196|-22.925809895925862,-47.02151521302435|-22.942457434358605,-47.11496902345776|-22.38049984151139,-46.952964518892415|-22.557467011656755,-47.412519516792656|-22.55660583014023,-47.4426026873449|-22.82462154470405,-47.264055877674345|-22.557467011656755,-47.412519516792656|-22.82462154470405,-47.264055877674345|-22.883333418766387,-47.04940666614242|-22.59801656219816,-47.39727160848652|-23.05166243103252,-47.83935039056969|-22.386432677217343,-47.54948279626647|-22.84948225596616,-47.68109670487482|-22.82462154470405,-47.264055877674345|-23.48381025284207,-46.69528157314321|-23.547762303364262,-46.63536053788448|-23.197672917017687,-47.28917041020834|-23.206255019158583,-47.30927660866177|-23.206255019158583,-47.30927660866177|-23.665930600578445,-47.02993636190237|-23.63633439439665,-46.64885115015292|-23.600412303912524,-46.62054169692418|-23.715914526390176,-46.7819351646447|-23.537309857060443,-46.6787664476888|-23.514805626303925,-47.46355489723096|-23.42308723120199,-46.58728156396795|-23.49971149209416,-46.63936074992788|-23.71020950597261,-46.77766430070986|-23.25777249999993,-45.82569514299996|-23.55554921933124,-46.29401982384838|-23.490995469328887,-46.71518003941369|-23.305170633128444,-46.73027620789416",Eduardo,a005Y00002GIPcRQAX,"{
  ""duration"": ""1684.02 min"",
  ""distance"": ""1760.17 km"",
  ""velocity"": ""62.71 km/h"",
  ""durationForEachOrder"": ""52.63 min / entrga"",
  ""orderAmt"": 32
}"
a045Y00000nQDmoQAG,12/05/2021 22:50,"-23.59732650874257,-46.5959904045242|-23.49349234396164,-46.345641335399336|-22.942719134058045,-45.42119605197068|-23.20853446073054,-45.90036526464305|-23.607731734116182,-46.65547065070119|-21.36638094534681,-48.2203674778317|-21.509482988454184,-48.1521308105084|-23.676302686046217,-46.66880079992426|-24.04895262488876,-46.53411148239479|-21.17070226113826,-47.81391542675223|-23.42808084901036,-46.79365920690751|-23.669112247850418,-46.65968055008948|-23.54005565309683,-46.19050400408456|-22.13335233749962,-51.38772479997239|-23.56799537246812,-46.55762524340702|-23.5336606655606,-46.49921086886143|-21.787360438802,-48.19339828795659|-22.878819618096824,-48.4382322403486|-23.67034517594794,-46.60576971189919|-23.690744215282084,-46.8509910886968|-23.562275627243423,-46.77786620774424",Nathan,a005Y00002GIPcYQAX,"{
  ""duration"": ""2902.85 min"",
  ""distance"": ""3842.28 km"",
  ""velocity"": ""79.42 km/h"",
  ""durationForEachOrder"": ""145.14 min / entrga"",
  ""orderAmt"": 20
}"
a045Y00000nQDlWQAW,12/05/2021 21:11,"-23.59732650874257,-46.5959904045242|-23.612052666446743,-46.60783466642034|-23.593477829345726,-46.6300893712196|-23.494074443793657,-46.44765937177561|-23.6901359553062,-46.70487596655891|-23.4945751406988,-46.95875424775154|-23.669657221034846,-46.810737255407446|-23.690744215282084,-46.8509910886968|-23.59375151817763,-46.53440071663103|-23.58343069747245,-46.50203424424373|-23.65022798473656,-46.75498649486411|-23.56788988703906,-46.57394821510183|-23.545859410180075,-46.49097687278091|-23.58343069747245,-46.50203424424373|-23.533697346932883,-46.53920421342839|-24.03077309908247,-46.48748488550985|-23.549508764643058,-46.53639808881068|-23.549508764643058,-46.53639808881068|-23.51633441909516,-46.54665246725141|-23.65791224508045,-46.52088020260834|-23.73610169431168,-46.44166577625721|-23.554750452680462,-46.50070100291418|-23.676302686046217,-46.66880079992426|-23.56786401832186,-46.59242413059029|-23.512200531047647,-46.86224382521073|-23.65791224508045,-46.52088020260834|-23.491899953372947,-46.76073601748513|-23.58230353622406,-46.40332804591979|-23.571960108517537,-46.39956693949449|-24.00774226672053,-46.42534066556061|-23.47991005744708,-46.618817165416345|-23.20853446073054,-45.90036526464305|-23.539858721622704,-46.51019320038666|-23.6002907463212,-46.49829101970684|-23.148804478137823,-46.92948882832884|-23.719915707744235,-46.8514216054591|-23.6901359553062,-46.70487596655891|-23.49068897668647,-46.72063688412487|-23.47085334332621,-46.64795890313922|-23.30432178573488,-45.97717112378096|-23.593477829345726,-46.6300893712196|-23.491756697843805,-46.89634269921673|-23.537511255832708,-46.63705730743676|-23.47085334332621,-46.64795890313922|-23.541807625310188,-46.74545280697093|-23.537511255832708,-46.63705730743676|-23.580017474897463,-46.73346263336026|-23.660085006057287,-46.64421113329966|-23.480948043568617,-46.58920397460899|-23.6901359553062,-46.70487596655891|-23.6901359553062,-46.70487596655891|-23.607731734116182,-46.65547065070119|-23.55113488125493,-46.35151586881098|-23.4945751406988,-46.95875424775154|-23.63670719816495,-46.73809456287144|-23.66930462115525,-46.48159847045406|-23.448542060505503,-46.59796136802471|-23.484927961134566,-46.37851129239998|-23.65791224508045,-46.52088020260834|-23.69931254058364,-46.501432357095794|-23.562275627243423,-46.77786620774424|-23.576284696783446,-46.597673422511626|-23.48494880428892,-46.46811804567771|-23.49830072439266,-46.64974098750651|-22.963253612775464,-47.01219940781335|-23.455935,-46.58499675000001|-23.590958301142567,-46.629899428674456|-23.71840541548848,-46.68541965889548|-23.69310169025909,-46.679201077990655|-23.591966039961942,-46.63789362337693|-23.532968210658424,-46.708292802527545|-23.650602102678075,-46.795999133052526|-23.5869802640594,-46.61441384480889|-23.854365356661845,-46.95453617477526|-23.69435938386508,-46.709580934358605|-23.68556929753588,-46.59852836343708|-23.54204599711017,-46.81338237476369|-23.602447801835048,-46.58881997155058|-23.65281620260835,-46.59941026824976|-24.04895262488876,-46.53411148239479|-23.724854378115623,-46.42232576882658|-23.71199903862156,-46.85931236190325|-23.351354573361085,-47.85525165880219|-23.568092855750987,-47.88939111855585|-22.828654864562257,-47.267296160568925",Nathan,a005Y00002GIPcYQAX,"{
  ""duration"": ""3696.08 min"",
  ""distance"": ""3011.49 km"",
  ""velocity"": ""48.89 km/h"",
  ""durationForEachOrder"": ""44.00 min / entrga"",
  ""orderAmt"": 84
}"
a045Y00000nQDlMQAW,12/05/2021 21:11,"-23.40740096502971,-46.75860955536962|-22.878819618096824,-48.4382322403486|-22.297210743262784,-49.04576223564539|-22.273780358041392,-48.54247513835192|-22.411500328698448,-48.45605058860306|-23.500582512485654,-46.89233398345806|-23.67034517594794,-46.60576971189919|-23.620189610046737,-46.62541139884006|-23.3260510959052,-46.74858284830127",Henrique,a005Y00002GIPcSQAX,"{
  ""duration"": ""646.77 min"",
  ""distance"": ""802.98 km"",
  ""velocity"": ""74.49 km/h"",
  ""durationForEachOrder"": ""71.86 min / entrga"",
  ""orderAmt"": 9
}"
a045Y00000nQDlRQAW,12/05/2021 21:11,"-23.55446657029896,-46.308525053174|-23.49349234396164,-46.345641335399336|-23.55655694261692,-46.70611501594888|-24.00774226672053,-46.42534066556061|-22.942719134058045,-45.42119605197068|-22.96042599570272,-45.55027479123935|-23.221587583126546,-45.90665169219235",Enrico,a005Y00002GIPcWQAX,"{
  ""duration"": ""393.92 min"",
  ""distance"": ""449.05 km"",
  ""velocity"": ""68.40 km/h"",
  ""durationForEachOrder"": ""56.27 min / entrga"",
  ""orderAmt"": 7
}"
a045Y00000nQDlbQAG,12/05/2021 21:11,"-23.59592438412487,-46.6698644007733|-23.54575486372553,-46.65030098889149|-23.537511255832708,-46.63705730743676|-23.79496318419343,-46.54706694123014|-23.53689213711117,-46.71311138051819|-21.90458849204745,-49.36042824669762|-21.92576605362672,-50.74077415347185|-22.083395632441874,-50.54042481026828|-22.15321602806684,-50.096240643242346",André,a005Y00002GIPcVQAX,"{
  ""duration"": ""659.97 min"",
  ""distance"": ""769.03 km"",
  ""velocity"": ""69.92 km/h"",
  ""durationForEachOrder"": ""73.33 min / entrga"",
  ""orderAmt"": 9
}"
a045Y00000nQDlgQAG,12/05/2021 21:11,"-23.630327989728222,-46.64074613696696|-23.64924156841137,-46.66149025714124|-23.669112247850418,-46.65968055008948|-23.48988814879191,-46.37265745864769|-23.48988814879191,-46.37265745864769|-23.54005565309683,-46.19050400408456|-23.48988814879191,-46.37265745864769|-24.03077309908247,-46.48748488550985|-23.29267167805407,-47.29641066902304|-23.21438523122222,-46.76501501718525|-23.4967913119626,-46.555892863725546|-23.422919605603347,-46.52110098542906|-23.463362095475787,-46.59647161656762|-23.48904962477673,-46.74524620346603|-23.50609758451153,-46.73241237719997|-23.563144561198005,-46.62658014155458|-23.57525436105025,-46.6323139083399",Theo,a005Y00002GIPcUQAX,"{
  ""duration"": ""702.25 min"",
  ""distance"": ""596.75 km"",
  ""velocity"": ""50.99 km/h"",
  ""durationForEachOrder"": ""41.31 min / entrga"",
  ""orderAmt"": 17
}"
a045Y00000nQDllQAG,12/05/2021 21:11,"-23.41500362826755,-46.89711573605917|-21.147921827370272,-48.97234074424372|-20.816686578378,-49.39492494796845|-21.43244049954755,-50.06402188573603|-21.43244049954755,-50.06402188573603|-22.13335233749962,-51.38772479997239|-22.72462686150384,-45.1116555874257|-23.56799537246812,-46.55762524340702|-23.632235999999992,-46.61515349999999|-23.68496570160418,-46.645837491301336|-23.498278155981296,-46.7470240943506",Murilo,a005Y00002GIPcTQAX,"{
  ""duration"": ""1290.08 min"",
  ""distance"": ""1694.88 km"",
  ""velocity"": ""78.83 km/h"",
  ""durationForEachOrder"": ""117.28 min / entrga"",
  ""orderAmt"": 11
}"
a045Y00000nQDlvQAG,12/05/2021 21:11,"-23.66613074464777,-46.41329324813887|-23.5336606655606,-46.49921086886143|-23.537511255832708,-46.63705730743676|-23.574733155981303,-46.6506709200761|-23.56788988703906,-46.57394821510183|-23.20853446073054,-45.90036526464305|-23.500716537884472,-46.58971616264639|-23.49269727560733,-46.654851038028696|-23.406516084950905,-46.84254171963375|-22.86981926481748,-48.45696374622915|-23.080145200450907,-46.95778578779591|-22.00268561118889,-47.42592206193028|-21.7681977105142,-48.20274085928214|-21.787360438802,-48.19339828795659|-21.36235769739203,-48.232975701561735|-20.530671079410943,-47.39851931627846|-21.55397791306265,-47.70050114604854|-22.404280214539902,-47.57843446971193|-22.76823217842944,-47.59592486661107",Henry,a005Y00002GIPcXQAX,"{
  ""duration"": ""1280.97 min"",
  ""distance"": ""1556.04 km"",
  ""velocity"": ""72.88 km/h"",
  ""durationForEachOrder"": ""67.42 min / entrga"",
  ""orderAmt"": 19
}"
